job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,skills,salary_max,company_size_num,company_size_group,skills_clean,skill_count,salary_max_new
data scientist,senior,on-site,company_003,"Sunnyvale, CA",18 days ago,"Bentonville, AR, US",Retail,Public,€352.44B,Public,"['pytorch', 'spark', 'r', 'python', 'scala', 'java', 'machine learning', 'deep learning', 'tensorflow']",261217.0,352440000000.0,large,pytorch|spark|r|python|scala|java|machine learning|deep learning|tensorflow,9,339582.10000000003
data scientist,senior,,company_212,"Bengaluru, Karnataka, India",a month ago,"Boston, MA, US",Technology,Public,"222,500",Public,"['pytorch', 'spark', 'aws', 'python', 'sql', 'machine learning', 'gcp', 'hadoop', 'azure', 'tensorflow']",17919.0,222500.0,large,pytorch|spark|aws|python|sql|machine learning|gcp|hadoop|azure|tensorflow,10,23294.7
data scientist,senior,,company_134,"Gurugram, Haryana, India . Bengaluru, Karnataka, India . Hyderabad, Telangana, India . Gurgaon, Haryana, India . Gurgaon, Haryana, Inde + 1 More",a month ago,"Seattle, WA, US",Retail,Public,"865,476",€833.01B,"['amazon', 'spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']",109545.0,865476.0,large,amazon|spark|r|python|sql|machine learning|hadoop|deep learning,8,142408.5
data scientist,senior,hybrid,company_183,"Tallinn, Harjumaa, Estonia . Hybrid",a month ago,"Tallinn, EE",Technology,Private,"3,790",Private,"['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'airflow', 'machine learning', 'deep learning']",61775.0,3790.0,medium,pandas|numpy|spark|aws|scikit-learn|python|docker|airflow|machine learning|deep learning,10,67952.5
data scientist,senior,,company_993,"Bengaluru, Karnataka, India",a month ago,"Chennai, TN, IN",Technology,Private,590,Private,"['pytorch', 'aws', 'python', 'docker', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow']",23238.0,590.0,small,pytorch|aws|python|docker|machine learning|gcp|deep learning|azure|tensorflow,9,23238.0
machine learning engineer,lead,on-site,company_244,"Seattle, WA . On-site",22 days ago,"New York, NY, US",Finance,Public,"290,760",€350.07B,"['pandas', 'numpy', 'pytorch', 'scikit-learn', 'machine learning', 'deep learning', 'tensorflow']",196372.0,290760.0,large,pandas|numpy|pytorch|scikit-learn|machine learning|deep learning|tensorflow,7,255283.6
data scientist,senior,,company_614,Ukraine,7 days ago,"Austin, TX, US",Technology,Private,"10,210",Private,"['amazon', 'deep learning', 'machine learning', 'python']",65766.0,10210.0,medium,amazon|deep learning|machine learning|python,4,72342.6
data scientist,senior,,company_171,"Bengaluru, Karnataka, India",20 days ago,"Armonk, NY, US",Technology,Public,"524,588",€119.33B,"['database', 'machine learning', 'java']",52697.0,524588.0,large,database|machine learning|java,3,68506.1
data scientist,midlevel,hybrid,company_357,"Irving, TX . Basking Ridge, NJ . Ashburn, VA . Hybrid",14 days ago,"Basking Ridge, NJ, US",Technology,Public,"132,030",€142.18B,[],115081.0,132030.0,large,,0,149605.30000000002
machine learning engineer,midlevel,,company_941,"Bengaluru, Karnataka, India",14 days ago,"Dublin, IE",Technology,Public,"492,205",€153.20B,"['sql', 'python']",26187.0,492205.0,large,sql|python,2,34043.1
data scientist,,hybrid,company_851,"Chicago, Illinois, United States . Hybrid",2 months ago,"Edison, NJ, US",Technology,Private,"3,560",Private,[],137005.0,3560.0,medium,,0,150705.5
data scientist,senior,on-site,company_395,"San Jose, CA",15 days ago,"McLean, VA, US",Retail,Public,"55,140",€36.03B,"['pytorch', 'aws', 'database', 'machine learning', 'tensorflow']",180296.0,55140.0,large,pytorch|aws|database|machine learning|tensorflow,5,234384.80000000002
data scientist,,remote,company_415,Fully Remote,5 days ago,"New York, NY, US",Technology,Private,900,€4.60B,[],164405.0,900.0,small,,0,164405.0
